Subject,number,title,crn,credits,capacity,availability,days,startTime,endTime,instructor
ACCT,229,INTRO ACCOUNTING,16481,3,55,0,T,07:15 pm,09:00 pm,Morgan E. Clarke (P)
ACCT,229,INTRO ACCOUNTING,10008,3,55,0,MWF,09:10 am,10:00 am,Morgan E. Clarke (P)
ACCT,229,INTRO ACCOUNTING,10008,3,55,0,T,07:15 pm,09:00 pm,Morgan E. Clarke (P)
ACCT,229,INTRO ACCOUNTING,21500,3,55,0,MWF,10:20 am,11:10 am,Morgan E. Clarke (P)
ACCT,229,INTRO ACCOUNTING,21500,3,55,0,T,07:15 pm,09:00 pm,Morgan E. Clarke (P)
ACCT,229,INTRO ACCOUNTING,29292,3,0,0,MW,04:10 pm,05:25 pm,Tara L. Vakil (P)
ACCT,229,INTRO ACCOUNTING,29292,3,0,0,T,07:15 pm,09:15 pm,Tara L. Vakil (P)
ACCT,229,INTRO ACCOUNTING,16482,3,55,0,MW,08:00 am,09:15 am,Michael J. Head (P)
ACCT,229,INTRO ACCOUNTING,16482,3,55,0,T,07:15 pm,09:00 pm,Michael J. Head (P)
ACCT,229,INTRO ACCOUNTING,14075,3,38,0,MW,11:10 am,12:25 pm,Michael J. Head (P)
ACCT,229,INTRO ACCOUNTING,14075,3,38,0,T,07:15 pm,09:00 pm,Michael J. Head (P)
ACCT,229,INTRO ACCOUNTING,16533,3,38,0,MW,09:35 am,10:50 am,Michael J. Head (P)
ACCT,229,INTRO ACCOUNTING,16533,3,38,0,T,07:15 pm,09:00 pm,Michael J. Head (P)
ACCT,230,HNR-INTRO ACCOUNTING,13132,3,36,0,TR,12:45 pm,02:00 pm,Natalie L. Allen (P)
ACCT,230,HNR-INTRO ACCOUNTING,13132,3,36,0,T,07:15 pm,09:00 pm,Natalie L. Allen (P)
ACCT,230,HNR-INTRO ACCOUNTING,13132,3,36,0,M,06:00 pm,08:00 pm,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,10009,3,190,48,R,09:35 am,10:50 am,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,10009,3,190,48,T,07:15 pm,09:00 pm,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,10009,3,190,48,M,06:00 pm,08:00 pm,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,21514,3,190,49,R,11:10 am,12:25 pm,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,21514,3,190,49,T,07:15 pm,09:00 pm,Natalie L. Allen (P)
ACCT,230,INTRO ACCOUNTING,21514,3,190,49,M,06:00 pm,08:00 pm,Natalie L. Allen (P)
ACCT,327,FINANCIAL REPORTING I,14185,3,35,0,MWF,08:00 am,08:50 am,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,14185,3,35,0,T,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,14185,3,35,0,M,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10010,3,35,0,MWF,09:10 am,10:00 am,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10010,3,35,0,T,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10010,3,35,0,M,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10011,3,35,0,MWF,10:20 am,11:10 am,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10011,3,35,0,T,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,10011,3,35,0,M,07:15 pm,09:15 pm,Tara N. Blasor (P)
ACCT,327,FINANCIAL REPORTING I,13136,3,35,0,MWF,11:30 am,12:20 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,13136,3,35,0,T,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,13136,3,35,0,M,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14074,3,35,0,MWF,12:40 pm,01:30 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14074,3,35,0,T,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14074,3,35,0,M,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,13137,3,35,12,MWF,01:50 pm,02:40 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,13137,3,35,12,T,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,13137,3,35,12,M,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14186,3,35,0,MWF,03:00 pm,03:50 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14186,3,35,0,T,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,14186,3,35,0,M,07:15 pm,09:15 pm,Ryan Larkin (P)
ACCT,327,FINANCIAL REPORTING I,16525,3,35,0,TR,08:00 am,09:15 am,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,16525,3,35,0,T,07:15 pm,09:15 pm,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,17723,3,35,0,TR,09:35 am,10:50 am,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,17723,3,35,0,T,07:15 pm,09:15 pm,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,27193,3,35,0,TR,11:10 am,12:25 pm,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,27193,3,35,0,T,07:15 pm,09:15 pm,Nathan Sharp (P)
ACCT,327,FINANCIAL REPORTING I,27195,3,45,0,MW,09:35 am,10:50 am,Kayla M. Cline (P)
ACCT,327,FINANCIAL REPORTING I,27195,3,45,0,T,07:15 pm,09:15 pm,Kayla M. Cline (P)
ACCT,327,FINANCIAL REPORTING I,27195,3,45,0,M,07:15 pm,09:15 pm,Kayla M. Cline (P)
ACCT,327,FINANCIAL REPORTING I,27196,3,45,-1,MW,11:10 am,12:25 pm,Kayla M. Cline (P)
ACCT,327,FINANCIAL REPORTING I,27196,3,45,-1,T,07:15 pm,09:15 pm,Kayla M. Cline (P)
ACCT,327,FINANCIAL REPORTING I,27196,3,45,-1,M,07:15 pm,09:15 pm,Kayla M. Cline (P)
ACCT,328,FINANCIAL REPORTING II,10012,3,30,-2,TR,12:45 pm,02:00 pm,Adrienne C. Rhodes (P)
ACCT,328,FINANCIAL REPORTING II,10013,3,30,-2,TR,02:20 pm,03:35 pm,Adrienne C. Rhodes (P)
ACCT,328,FINANCIAL REPORTING II,10014,3,30,-2,TR,03:55 pm,05:10 pm,Adrienne C. Rhodes (P)
ACCT,328,FINANCIAL REPORTING II,21551,3,30,0,TR,08:00 am,09:15 am,Steven Grossman (P)
ACCT,328,FINANCIAL REPORTING II,12974,3,30,-2,TR,09:35 am,10:50 am,Steven Grossman (P)
ACCT,328,FINANCIAL REPORTING II,21717,3,30,-4,TR,11:10 am,12:25 pm,Steven Grossman (P)
ACCT,328,FINANCIAL REPORTING II,27198,3,30,0,TR,08:00 am,09:15 am,Dechun Wang (P)
ACCT,328,FINANCIAL REPORTING II,27200,3,30,-1,TR,09:35 am,10:50 am,Dechun Wang (P)
ACCT,329,COST MGMT & ANALYSIS,27202,3,200,10,T,09:35 am,10:50 am,Karen C. Farmer (P)
ACCT,329,COST MGMT & ANALYSIS,27202,3,200,10,T,07:15 pm,09:15 pm,Karen C. Farmer (P)
ACCT,405,INCOME TAX,13619,3,50,6,MWF,08:00 am,08:50 am,Morgan E. Clarke (P)
ACCT,407,AUDITING,15212,3,27,-3,MW,12:45 pm,02:00 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15212,3,27,-3,T,07:15 pm,09:15 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15211,3,27,-2,MW,02:20 pm,03:35 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15211,3,27,-2,T,07:15 pm,09:15 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15210,3,27,0,MW,03:55 pm,05:10 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15210,3,27,0,T,07:15 pm,09:15 pm,Matthew S. Ege (P)
ACCT,407,AUDITING,15204,3,27,-2,TR,11:10 am,12:25 pm,April D. Nafstad (P)
ACCT,407,AUDITING,15204,3,27,-2,T,07:15 pm,09:15 pm,April D. Nafstad (P)
ACCT,407,AUDITING,17550,3,27,-2,TR,12:45 pm,02:00 pm,April D. Nafstad (P)
ACCT,407,AUDITING,17550,3,27,-2,T,07:15 pm,09:15 pm,April D. Nafstad (P)
ACCT,407,AUDITING,18996,3,55,-4,MW,11:10 am,12:25 pm,Michael Shaub (P)
ACCT,407,AUDITING,18996,3,55,-4,T,07:15 pm,09:15 pm,Michael Shaub (P)
ACCT,407,AUDITING,21516,3,27,-5,TR,02:20 pm,03:35 pm,James C. Flagg (P)
ACCT,407,AUDITING,21516,3,27,-5,T,07:15 pm,09:15 pm,James C. Flagg (P)
ACCT,408,INTERNAL AUDITING,10016,3,35,-1,MW,04:10 pm,05:25 pm,Tara N. Blasor (P)
ACCT,421,CRITICAL COMM ACCT,18806,2,40,-14,MW,02:20 pm,03:35 pm,Susan Fiechtner (P)
ACCT,421,CRITICAL COMM ACCT,18803,2,40,-12,MW,03:55 pm,05:10 pm,Susan Fiechtner (P)
ACCT,425,CORPORATE TAX PLANNING,13365,3,0,0,,TBA,TBA,Constance Weaver (P)
ACCT,427,ACCT & FIN INFO SYSTEMS,10017,3,32,0,TR,11:10 am,12:25 pm,Michelle C. Diaz (P)
ACCT,427,ACCT & FIN INFO SYSTEMS,10018,3,32,12,TR,02:20 pm,03:35 pm,Michelle C. Diaz (P)
