Room, startTime, endTime , days, capacity
MILS 213, 11:30 am, 12:20 pm, M,30
MILS 213, 01:50 pm, 02:40 pm, M,30
MILS 213, 08:00 am, 08:50 am, W,30
MILS 213, 09:10 am, 10:00 am, W,30
MILS 213, 10:20 am, 11:10 am, W,30
MILS 213, 11:30 am, 12:20 pm, W,30
MILS 213, 01:50 pm, 02:40 pm, W,30
MILS 213, 03:00 pm, 03:50 pm, M,30
MILS 213, 03:00 pm, 03:50 pm, W,0
HELD 111, 04:15 pm, 06:15 pm, T,120
KLCT 113, 04:15 pm, 06:15 pm, T,107
HECC 201, 04:15 pm, 06:15 pm, T,107
HELD 109, 04:15 pm, 06:15 pm, T,106
CVE 110, 04:15 pm, 06:15 pm, T,120
MILS 213, 04:15 pm, 06:15 pm, T,60
MILS 217, 04:15 pm, 06:15 pm, T,60
MILS 315, 09:10 am, 11:10 am, F,66
MILS 217, 09:10 am, 10:00 am, M,30
MILS 217, 10:20 am, 11:10 am, M,30
MILS 217, 01:50 pm, 02:40 pm, M,30
MILS 217, 03:00 pm, 03:50 pm, M,0
MILS 217, 09:10 am, 10:00 am, W,30
MILS 217, 10:20 am, 11:10 am, W,31
MILS 217, 01:50 pm, 02:40 pm, W,31
MILS 217, 03:00 pm, 03:50 pm, W,30
MILS 217, 08:00 am, 08:50 am, M,32
MILS 217, 08:00 am, 08:50 am, W,0
MILS 217, 09:35 am, 10:50 am, TR,22
MILS 217, 12:45 pm, 02:00 pm, TR,22
MILS 217, 02:20 pm, 03:35 pm, TR,0
MILS 217, 11:10 am, 12:25 pm, TR,23
MILS 213, 09:35 am, 10:50 am, TR,22
MILS 213, 12:45 pm, 02:00 pm, TR,22
MILS 213, 02:20 pm, 03:35 pm, TR,0
MILS 213, 11:10 am, 12:25 pm, TR,22
ACAD 123, 02:20 pm, 03:35 pm, TR,32
HELD 120, 12:45 pm, 02:00 pm, TR,8
MILS 214, 09:10 am, 10:00 am, MWF,28
YMCA 109, 11:10 am, 12:25 pm, TR,8
MILS 110, 01:50 pm, 02:40 pm, MWF,5
LAAH 463, 12:45 pm, 02:00 pm, TR,20
HECC 204, 04:10 pm, 05:25 pm, MW,5
HECC 110, 03:55 pm, 05:10 pm, TR,5
HECC 201, 08:00 am, 08:50 am, MWF,5
HECC 204, 09:10 am, 10:00 am, MWF,5
ANTH 237, 02:20 pm, 03:35 pm, TR,2
CHEN 102, 02:20 pm, 03:35 pm, TR,20
MILS 216, 11:30 am, 12:20 pm, MWF,5
YMCA 115, 02:20 pm, 03:35 pm, TR,8
HELD 119, 11:10 am, 12:25 pm, TR,8
PSYC 336, 04:10 pm, 05:25 pm, MW,7
BLTN 006, 06:00 pm, 09:00 pm, W,2
AGLS 115, 01:50 pm, 02:40 pm, MWF,50
AGLS 115, 01:50 pm, 02:40 pm, MWF,20
AGLS 113, 11:30 am, 12:20 pm, MW,29
AGLS 113, 10:20 am, 12:20 pm, F,29
AGLS 113, 02:20 pm, 03:35 pm, TR,20
AGLS 111C, 09:35 am, 10:50 am, TR,35
AGLS 111C, 11:10 am, 12:25 pm, TR,35
AGLS 117, 09:10 am, 10:00 am, MW,20
AGLS 117, 12:40 pm, 01:55 pm, MW,20
AGLS 117, 02:10 pm, 03:25 pm, MW,20
AGLS 113, 09:10 am, 10:00 am, MW,20
AGLS 113, 09:35 am, 10:50 am, TR,20
AGLS 113, 11:10 am, 12:25 pm, TR,20
AGLS 130, 03:55 pm, 05:10 pm, TR,12
AGLS 130, 05:30 pm, 06:30 pm, R,12
AGLS 130, 03:55 pm, 05:10 pm, TR,3
AGLS 130, 05:30 pm, 06:30 pm, R,3
AGLS 113, 10:20 am, 11:10 am, MW,10
AGLS 113, 12:45 pm, 02:00 pm, T,10
AGLS 113, 12:45 pm, 02:00 pm, R,10
AGLS 113, 12:40 pm, 01:30 pm, MWF,25
HFSB 119X, 02:20 pm, 03:35 pm, TR,25
AGLS 117, 08:00 am, 09:15 am, TR,20
AGLS 132, 11:30 am, 12:20 pm, MW,25
AGLS 132, 06:20 pm, 08:20 pm, T,25
AGLS 113, 03:00 pm, 03:50 pm, MW,20
AGLS 113, 09:00 am, 09:50 am, F,20
AGLS 110, 11:10 am, 12:25 pm, TR,12
HPCT 101, 04:10 pm, 05:25 pm, MW,60
HPCT 101, 04:10 pm, 05:25 pm, MW,50
HPCT 101, 02:20 pm, 03:35 pm, TR,60
HPCT 101, 02:20 pm, 03:35 pm, TR,50
AGLS 111B, 02:20 pm, 04:20 pm, TR,30
AGLS 111B, 08:00 am, 08:50 am, W,30
AGLS 111B, 10:20 am, 12:20 pm, MW,30
AGLS 111B, 12:40 pm, 02:40 pm, MW,30
AGLS 111B, 08:00 am, 10:00 am, MF,30
AGLS 111B, 03:00 pm, 05:00 pm, MW,30
AGLS 111B, 12:40 pm, 02:40 pm, MW,3
AGLS 111B, 08:00 am, 08:50 am, W,3
AGLS 111B, 02:20 pm, 04:20 pm, TR,3
AGLS 111B, 10:20 am, 12:20 pm, MW,3
AGLS 111B, 03:00 pm, 05:00 pm, MW,3
HPCT 101, 03:00 pm, 03:50 pm, MW,20
AGLS 114, 11:30 am, 12:20 pm, MWF,30
AGLS 114, 11:30 am, 12:20 pm, MWF,20
AGLS 110, 03:55 pm, 05:10 pm, TR,0
AGLS 114, 09:10 am, 10:00 am, MWF,30
AGLS 114, 10:20 am, 11:10 am, MWF,30
AGLS 114, 11:10 am, 12:25 pm, TR,3
KLCT 117, 12:45 pm, 02:00 pm, TR,3
AGLS 114, 11:10 am, 12:25 pm, TR,30
KLCT 117, 12:45 pm, 02:00 pm, TR,30
AGLS 113, 01:50 pm, 02:40 pm, MWF,0
WCLF 126, 09:35 am, 10:50 am, TR,5
WCLF 126, 09:35 am, 10:50 am, TR,20
HPCT 101, 08:00 am, 09:15 am, TR,0
HPCT 101, 11:10 am, 12:25 pm, TR,60
HPCT 101, 12:45 pm, 02:00 pm, TR,60
AGLS 114, 08:00 am, 08:50 am, MWF,35
AGLS 114, 08:00 am, 08:50 am, MWF,25
AGLS 114, 08:00 am, 09:15 am, TR,1
AGLS 114, 08:00 am, 09:15 am, TR,0
AGLS 114, 04:10 pm, 05:25 pm, MW,45
AGLS 114, 04:10 pm, 05:25 pm, MW,15
AGLS 113, 08:00 am, 09:15 am, TR,35
AGLS 114, 12:40 pm, 01:30 pm, MWF,0
HPCT 101, 03:00 pm, 03:50 pm, MW,5
HPCT 101, 03:00 pm, 03:50 pm, MW,0
HPCT 101, 11:00 am, 01:00 pm, M,0
HPCT 101, 03:00 pm, 05:00 pm, T,0
HPCT 101, 08:00 am, 10:00 am, W,0
HPCT 101, 10:20 am, 12:20 pm, W,0
HPCT 101, 12:45 pm, 02:45 pm, R,0
HPCT 101, 03:30 pm, 05:30 pm, R,0
HPCT 101, 08:00 am, 10:00 am, F,20
HPCT 101, 09:35 am, 10:50 am, TR,0
AGLS 114, 09:35 am, 10:50 am, TR,0
AGLS 114, 03:55 pm, 05:10 pm, TR,50
AGLS 114, 12:45 pm, 02:00 pm, TR,50
